event_id,latitude,longitude,fog,accident,vehicle_count,timestamp
event_0,28.631484,77.357305,Foggy,Accident,11,2025-12-15T16:18:44.710309
event_1,28.593733,77.252863,Foggy,Accident,32,2025-12-15T16:18:45.712461
event_2,28.67012,77.19692,Foggy,Accident,15,2025-12-15T16:18:46.712182
event_3,28.726857,77.325318,Foggy,Accident,19,2025-12-15T16:18:47.769414
event_4,28.509837,76.815159,Clear,Accident,13,2025-12-15T16:18:48.772194
event_5,28.43957,76.808423,Clear,Accident,18,2025-12-15T16:18:49.774198
event_6,28.498619,76.929749,Foggy,No Accident,13,2025-12-15T16:18:50.787251
event_7,28.489604,76.842061,Foggy,Accident,12,2025-12-15T16:18:51.788196
event_8,28.559334,76.902347,Foggy,Accident,5,2025-12-15T16:18:52.786257
event_9,28.715103,77.00341,Clear,Accident,16,2025-12-15T16:18:53.788567
event_10,28.883092,77.180947,Clear,Accident,10,2025-12-15T16:18:54.789057
event_11,28.706347,77.023716,Foggy,No Accident,17,2025-12-15T16:18:55.786532
event_12,28.727921,76.840657,Foggy,Accident,7,2025-12-15T16:18:56.787823
event_13,28.779945,77.179731,Foggy,No Accident,20,2025-12-15T16:18:57.788526
event_14,28.617356,77.021576,Foggy,No Accident,6,2025-12-15T16:18:58.787048
event_15,28.83899,77.111607,Foggy,Accident,10,2025-12-15T16:18:59.855393
event_16,28.790347,76.804764,Foggy,Accident,24,2025-12-15T16:19:00.911031
event_17,28.87872,77.152839,Foggy,No Accident,17,2025-12-15T16:19:01.911148
event_18,28.44891,77.105313,Clear,No Accident,28,2025-12-15T16:19:02.911018
event_19,28.532848,77.046132,Foggy,Accident,18,2025-12-15T16:19:03.910283
event_20,28.841191,76.809214,Clear,Accident,5,2025-12-15T16:19:04.909914
event_21,28.502618,76.896816,Foggy,No Accident,9,2025-12-15T16:19:05.911809
event_22,28.641464,77.20964,Clear,No Accident,22,2025-12-15T16:19:06.910941
event_23,28.432121,77.228377,Foggy,Accident,16,2025-12-15T16:19:07.910051
event_24,28.562476,77.314348,Foggy,Accident,14,2025-12-15T16:19:08.910572
event_25,28.873827,77.354416,Clear,Accident,10,2025-12-15T16:19:09.911119
event_26,28.834191,77.054864,Foggy,Accident,16,2025-12-15T16:19:10.911584
event_27,28.466363,76.988696,Foggy,Accident,3,2025-12-15T16:19:12.003047
event_28,28.864706,77.060233,Foggy,No Accident,23,2025-12-15T16:19:13.063250
event_29,28.692416,77.154416,Foggy,No Accident,19,2025-12-15T16:19:14.063373
event_30,28.644089,76.835168,Clear,Accident,28,2025-12-15T16:19:15.064573
event_31,28.649225,77.200895,Clear,Accident,4,2025-12-15T16:19:16.064340
event_32,28.737587,77.365214,Foggy,No Accident,7,2025-12-15T16:19:17.062923
event_33,28.724944,77.319248,Foggy,No Accident,6,2025-12-15T16:19:18.065680
event_34,28.7713,77.031333,Clear,Accident,3,2025-12-15T16:19:19.063472
event_35,28.818038,77.285484,Foggy,No Accident,7,2025-12-15T16:19:20.103571
event_36,28.772524,77.342427,Foggy,Accident,4,2025-12-15T16:19:21.064382
event_37,28.799461,77.139117,Foggy,Accident,7,2025-12-15T16:19:22.065621
event_38,28.547182,77.371611,Clear,Accident,27,2025-12-15T16:19:23.064688
event_39,28.846975,76.904891,Foggy,Accident,33,2025-12-15T16:19:24.063791
event_40,28.528204,76.967266,Clear,Accident,17,2025-12-15T16:19:25.080172
event_41,28.886712,77.067184,Clear,No Accident,7,2025-12-15T16:19:26.096438
event_42,28.687567,77.063282,Foggy,Accident,9,2025-12-15T16:19:27.097897
event_43,28.633454,77.079712,Foggy,No Accident,4,2025-12-15T16:19:28.109208
event_44,28.8487,76.885943,Foggy,Accident,13,2025-12-15T16:19:29.117964
event_45,28.709811,77.052954,Clear,Accident,7,2025-12-15T16:19:30.111998
event_46,28.64954,76.847166,Foggy,No Accident,8,2025-12-15T16:19:31.136501
event_47,28.633207,76.822227,Clear,Accident,29,2025-12-15T16:19:32.099116
event_48,28.500082,77.101909,Foggy,No Accident,8,2025-12-15T16:19:33.097982
event_49,28.706231,77.00928,Clear,No Accident,18,2025-12-15T16:19:34.097395
event_50,28.810344,77.033861,Foggy,No Accident,11,2025-12-15T16:19:35.098130
event_51,28.465537,77.30319,Clear,No Accident,29,2025-12-15T16:19:36.098304
event_52,28.857042,76.859411,Foggy,No Accident,5,2025-12-15T16:19:37.170603
event_53,28.602122,77.148445,Clear,No Accident,7,2025-12-15T16:19:38.443520
event_54,28.480263,77.373922,Clear,No Accident,8,2025-12-15T16:19:39.223452
event_55,28.693273,77.355664,Clear,No Accident,7,2025-12-15T16:19:40.224713
event_56,28.813396,77.196933,Clear,No Accident,24,2025-12-15T16:19:41.223510
event_57,28.405558,77.346211,Clear,No Accident,2,2025-12-15T16:19:42.307509
event_58,28.627185,76.988603,Foggy,Accident,22,2025-12-15T16:19:43.224251
event_59,28.484196,76.948374,Foggy,Accident,10,2025-12-15T16:19:44.241006
